datetime,open,high,low,close,volume,high_5_sma,high_5_mstd,vwma_5,boll,boll_ub,boll_lb,action
2022-12-22 04:00:00,16844.5,16850.0,16778.0,16820.0,20542.365,16863.26,35.63983726114427,16808.846483859757,16768.045000000002,17010.30425630035,16525.785743699653,0
2022-12-22 08:00:00,16820.0,16861.9,16794.2,16827.6,27422.832,16850.8,12.17271539142662,16804.215309244413,16775.745000000003,17015.137428100013,16536.35257189999,0
2022-12-22 12:00:00,16827.6,16837.6,16600.0,16631.5,98813.975,16846.6,12.428797206513666,16751.14009560831,16771.6,17018.22619487808,16524.973805121917,0
2022-12-22 16:00:00,16631.5,16662.8,16556.1,16658.3,63297.216,16813.019999999997,84.42370520179858,16712.046028886787,16768.25,17019.304630247007,16517.195369752993,0
2022-12-22 20:00:00,16658.3,16849.4,16643.6,16815.5,77063.904,16812.34,84.03599228902002,16719.250446038757,16776.015,17022.564615162715,16529.465384837284,0
2022-12-23 00:00:00,16815.5,16895.0,16764.0,16823.5,40208.22,16821.340000000004,91.18332084323526,16726.95908308088,16789.725,17012.545549699666,16566.90445030033,0
2022-12-23 04:00:00,16823.5,16849.0,16801.0,16842.0,24893.707,16818.760000000002,89.92256668934843,16726.346418983176,16810.364999999998,16955.50880926674,16665.221190733257,0
2022-12-23 08:00:00,16842.0,16887.8,16805.2,16837.4,30513.335,16828.8,95.19957983100828,16756.83636726153,16816.335,16955.16751970037,16677.502480299627,0
2022-12-23 12:00:00,16837.3,16960.0,16690.0,16825.9,123959.289,16888.24,45.39744486203785,16813.420940200416,16817.825,16956.38249898997,16679.267501010032,1
2022-12-23 16:00:00,16826.0,16852.5,16806.6,16838.5,18874.204,16888.859999999997,44.750955297086584,16829.128509426824,16819.495,16958.211757611127,16680.77824238887,0
2022-12-23 20:00:00,16838.5,16843.0,16762.5,16776.4,26104.665,16878.46,48.82425626675364,16825.32896898321,16812.77,16945.751124105867,16679.788875894134,0
2022-12-24 00:00:00,16776.3,16834.7,16774.4,16833.3,15312.893,16875.6,51.33561142132769,16823.912008477666,16809.7,16937.449228033664,16681.950771966338,0
2022-12-24 04:00:00,16833.3,16850.0,16797.0,16840.3,15980.866,16868.04,51.870347984193984,16821.346137628992,16807.355,16930.7623183023,16683.9476816977,0
2022-12-24 08:00:00,16840.2,16841.0,16814.0,16819.2,12975.412,16844.24,7.149335633525813,16816.346949876235,16806.825,16929.917090044884,16683.732909955117,0
2022-12-24 12:00:00,16819.3,16832.1,16807.7,16830.2,12508.365,16840.16,7.077640849937862,16813.715300783326,16807.875,16931.409864032863,16684.340135967137,0
2022-12-24 16:00:00,16830.3,16859.9,16815.2,16834.6,12443.844,16843.54,11.454824311215374,16825.27083911646,16805.984999999997,16926.48256975071,16685.487430249283,0
2022-12-24 20:00:00,16834.6,16847.1,16803.6,16828.9,13189.41,16846.019999999997,10.351666532538657,16828.060777349434,16804.7,16923.551574840825,16685.848425159176,0
2022-12-25 00:00:00,16829.0,16844.0,16815.3,16824.0,8339.966,16844.82,10.120128457724698,16827.740200260465,16808.56,16924.472079203602,16692.6479207964,0
2022-12-25 04:00:00,16824.1,16826.2,16788.0,16816.8,13041.858,16841.859999999997,13.209579857087315,16824.58173798065,16808.42,16924.282688240666,16692.55731175933,0
2022-12-25 08:00:00,16816.7,16828.1,16808.0,16814.9,10124.306,16841.06,14.043254608556836,16823.511647089726,16806.94,16921.612245070515,16692.267754929482,0
2022-12-25 12:00:00,16815.0,16850.0,16700.0,16784.1,58570.279,16839.079999999998,11.11561964087867,16796.144100116668,16805.144999999997,16920.08008419532,16690.209915804673,0
2022-12-25 16:00:00,16784.2,16811.3,16723.6,16786.7,29179.355,16831.920000000002,15.372930755082084,16787.332306368848,16803.1,16917.808050467887,16688.39194953211,0
2022-12-25 20:00:00,16786.6,16840.2,16746.0,16824.4,24820.079,16831.16,14.705883176488909,16787.810364053068,16812.745000000003,16894.36905411743,16731.120945882576,0
2022-12-26 00:00:00,16824.5,16892.0,16813.2,16887.1,28620.905,16844.32,30.315128236590027,16800.299132549095,16824.185,16871.65741969414,16776.712580305863,0
2022-12-26 04:00:00,16887.2,16919.8,16830.0,16836.6,24738.987,16862.66,43.09405991550787,16808.499180978182,16825.239999999998,16872.837408156276,16777.64259184372,0
2022-12-26 08:00:00,16836.7,16863.0,16811.0,16854.0,20279.232,16865.260000000002,42.52773212859408,16827.90776412484,16826.765,16876.05209770353,16777.47790229647,0
2022-12-26 12:00:00,16854.1,16858.9,16781.1,16801.2,26504.163,16874.78,31.265188309071608,16837.52020480759,16824.725,16874.72924718841,16774.720752811587,0
2022-12-26 16:00:00,16801.1,16856.5,16792.0,16834.9,21061.266,16878.04,27.364630456152888,16842.790939281786,16824.6,16874.4831898701,16774.716810129896,0
2022-12-26 20:00:00,16834.9,16936.8,16810.2,16912.9,26924.146,16887.0,38.248333297048724,16847.564974488043,16828.95,16892.58767503805,16765.312324961953,0
2022-12-27 00:00:00,16912.8,16968.0,16830.0,16868.1,42682.907,16896.64,52.135045794575746,16857.716583279802,16830.43,16896.33909529149,16764.52090470851,0
2022-12-27 04:00:00,16868.1,16888.0,16843.0,16859.6,15232.9,16901.64,49.219538803230364,16860.69083339351,16834.59,16896.523033444326,16772.656966555674,0
2022-12-27 08:00:00,16859.6,16874.8,16800.6,16823.7,30792.726,16904.82,46.18811535452454,16863.565279766895,16834.11,16896.233642419014,16771.986357580987,0
2022-12-27 12:00:00,16823.6,16833.4,16723.2,16790.7,66673.069,16900.2,52.897636998287325,16838.025471817815,16831.63,16896.607732218414,16766.65226778159,0
2022-12-27 16:00:00,16790.7,16795.4,16580.0,16681.3,78151.443,16871.920000000002,64.87936497840666,16781.401362022945,16824.735,16918.26100032547,16731.20899967453,-1
2022-12-27 20:00:00,16681.3,16714.1,16646.3,16698.2,29295.519,16821.14,70.0358336853311,16747.929018319293,16818.135000000002,16927.35117915635,16708.918820843654,-1
2022-12-28 00:00:00,16698.2,16745.0,16541.0,16643.3,58603.691,16792.54,64.9178557871276,16717.93333331524,16808.57,16942.43971042196,16674.70028957804,-1
2022-12-28 04:00:00,16643.2,16672.3,16580.6,16639.0,40102.069,16752.04,63.927716993468664,16692.110432333968,16799.075,16952.398049045016,16645.751950954986,-1
2022-12-28 08:00:00,16639.1,16683.9,16623.3,16672.0,27228.635,16722.140000000003,49.75080903860634,16662.529281078347,16791.475,16954.36624398954,16628.583756010456,0
2022-12-28 12:00:00,16672.0,16778.3,16560.7,16571.3,96232.22,16718.719999999998,43.672096354487415,16645.510422467552,16779.2,16968.857064475076,16589.542935524925,0
2022-12-28 16:00:00,16571.3,16660.0,16555.8,16589.6,48646.397,16707.9,51.16233966498498,16633.25703467207,16767.935,16974.65995100607,16561.210048993933,0
2022-12-28 20:00:00,16589.7,16607.3,16455.6,16539.0,73836.846,16680.36,62.09273709536838,16605.610722214056,16755.68,16986.074833640996,16525.285166359005,0
2022-12-29 00:00:00,16538.9,16588.6,16485.1,16553.2,34024.879,16663.620000000003,74.79276034479605,16594.33233639347,16744.004999999997,16990.858141723955,16497.15185827604,0
